crm_entity_id,company_name,registry_code,country_code,customer_segment,relationship_manager,crm_status,created_date
CRM0001,Baltic Nordic OÜ,EE10000001,EE,Mid-Market,Tomas Petrauskas,Active,2021-05-04
CRM0002,Nova Amber SIA,LV10000002,LV,Mid-Market,Juris Ozols,Active,2020-06-07
CRM0003,Baltic Vega UAB,LT10000003,LT,Large Corporate,Liis Kask,Active,2021-04-25
CRM0004,Nova Nova OÜ,EE10000004,EE,Mid-Market,Liis Kask,Active,2021-10-16
CRM0005,Nova Vega SIA,LV10000005,LV,Large Corporate,Anna Saar,Active,2020-10-10
CRM0006,Harbor Nordic UAB,,LT,SME,Markus Tamm,Active,2022-02-23
CRM0007,VEGA ATLAS OU,EE10000007,EE,Large Corporate,Markus Tamm,Active,2023-12-17
CRM0008,Atlas Baltic SIA,LV10000008,LV,SME,Anna Saar,Active,2022-04-29
CRM0009,Atlas Atlas UAB,LT10000009,LT,Mid-Market,Liis Kask,Active,2023-01-16
CRM0010,Meridian Baltic OÜ,EE10000010,EE,Mid-Market,Juris Ozols,Inactive,2020-05-07
CRM0011,Baltic Harbor SIA,LV10000011,LV,SME,Juris Ozols,Active,2022-03-08
CRM0012,Atlas Nova UAB,LT10000012,LT,Large Corporate,Tomas Petrauskas,Active,2020-02-10
CRM0013,Nova Harbor OÜ,EE10000013,EE,Large Corporate,Juris Ozols,Inactive,2022-09-03
CRM0014,BALTIC VEGA SIA,LV10000014,LV,SME,Liis Kask,Active,2021-09-03
CRM0015,Atlas Amber UAB,LT10000015,LT,Mid-Market,Juris Ozols,Active,2023-01-07
CRM0016,Harbor Baltic OÜ,EE10000016,EE,Large Corporate,Tomas Petrauskas,Active,2023-01-23
CRM0017,Nova Amber SIA,LV10000017,LV,Large Corporate,Markus Tamm,Active,2022-09-26
CRM0018,Nova Atlas UAB,LT10000018,LT,SME,Liis Kask,Active,2022-06-11
CRM0019,Nordic Nova OÜ,EE10000019,EE,Mid-Market,Anna Saar,Active,2022-03-07
CRM0020,Vega Harbor SIA,LV10000020,LV,Mid-Market,Tomas Petrauskas,Active,2023-10-22
CRM0021,ATLAS NOVA UAB,LT10000021,LT,Mid-Market,Tomas Petrauskas,Active,2020-12-04
CRM0022,Meridian Amber OÜ,EE10000022,EE,Mid-Market,Markus Tamm,Active,2023-06-28
CRM0023,Harbor Vega SIA,,LV,Large Corporate,Anna Saar,Inactive,2025-01-31
CRM0024,Nova Amber UAB,LT10000024,LT,Mid-Market,Ieva Berzina,Active,2023-03-01
CRM0025,Nordic Baltic OÜ,EE10000025,EE,Large Corporate,Anna Saar,Active,2020-06-20
CRM0026,Vega Baltic SIA,LV10000026,LV,Large Corporate,Juris Ozols,Active,2020-10-04
CRM0027,Meridian Harbor UAB,LT10000027,LT,Mid-Market,Markus Tamm,Inactive,2020-04-12
CRM0028,BALTIC HARBOR OU,EE10000028,EE,Mid-Market,Juris Ozols,Active,2021-11-01
CRM0029,Baltic Harbor SIA,LV10000029,LV,SME,Juris Ozols,Active,2021-10-31
CRM0030,Nordic Harbor UAB,LT10000030,LT,Mid-Market,Juris Ozols,Inactive,2021-07-23
CRM0031,Amber Baltic OÜ,EE10000031,EE,Mid-Market,Liis Kask,Active,2024-09-05
CRM0032,Nova Amber SIA,LV10000032,LV,SME,Juris Ozols,Active,2020-02-09
CRM0033,Nordic Atlas UAB,LT10000033,LT,Large Corporate,Ieva Berzina,Active,2020-04-16
CRM0034,Atlas Harbor OÜ,EE10000034,EE,Mid-Market,Markus Tamm,Active,2023-08-24
CRM0035,BALTIC BALTIC SIA,LV10000035,LV,SME,Tomas Petrauskas,Active,2020-03-23
CRM0036,Amber Amber UAB,LT10000036,LT,SME,Markus Tamm,Active,2021-02-12
CRM0037,Amber Harbor OÜ,EE10000037,EE,SME,Ieva Berzina,Active,2020-11-08
CRM0038,Vega Nova SIA,LV10000038,LV,SME,Markus Tamm,Inactive,2022-08-27
CRM0039,Nova Harbor UAB,LT10000039,LT,Large Corporate,Anna Saar,Active,2023-03-01
CRM0040,Atlas Meridian OÜ,EE10000040,EE,SME,Juris Ozols,Inactive,2023-12-03
CRM0041,Nova Nova SIA,LV10000041,LV,Mid-Market,Liis Kask,Active,2020-12-09
CRM0042,NOVA NOVA UAB,LT10000042,LT,Large Corporate,Ieva Berzina,Active,2025-05-27
